"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 19 03:40:48 GMT 2022","Sat Nov 19 03:40:49 GMT 2022","1312","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","remove_shouldThrowException_whenBookNotExists","Deve lançar exceção ao tentar remover livro que não existe",""
"passed","Sat Nov 19 03:40:50 GMT 2022","Sat Nov 19 03:40:50 GMT 2022","75","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","findALL_shouldReturnAllBooks","Deve retornar todos os livros",""
"skipped","Sat Nov 19 03:41:13 GMT 2022","Sat Nov 19 03:41:13 GMT 2022","1","","Testes de integração - Livros - Após as correções","","com.peixoto.api.BookIntegrationReviwedTest","t1","Deve buscar livro pelo id com sucesso",""
"passed","Sat Nov 19 03:41:34 GMT 2022","Sat Nov 19 03:41:34 GMT 2022","301","","Testes de integração - Livros - Antes de correções","","com.peixoto.api.BookIntegrationTest","t2","t2()",""
"passed","Sat Nov 19 03:41:34 GMT 2022","Sat Nov 19 03:41:35 GMT 2022","199","","Testes de integração - Livros - Antes de correções","","com.peixoto.api.BookIntegrationTest","t3","t3()",""
"passed","Sat Nov 19 03:40:50 GMT 2022","Sat Nov 19 03:40:50 GMT 2022","144","","Testes de Unidade - User Details Service","","com.peixoto.api.services.UserDetailServiceTest","loadUserByUsername_shouldReturnUsername","Deve retornar o usuário buscado",""
"passed","Sat Nov 19 03:40:50 GMT 2022","Sat Nov 19 03:40:50 GMT 2022","12","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","remove_shouldRemoveBook","Deve remover livro com sucesso",""
"passed","Sat Nov 19 03:40:50 GMT 2022","Sat Nov 19 03:40:50 GMT 2022","6","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","findALL_shouldThrowException_whenThereIsNoBooks","Deve lançar exceção ao buscar livros (busca por todos)",""
"passed","Sat Nov 19 03:40:50 GMT 2022","Sat Nov 19 03:40:50 GMT 2022","23","","Testes de unidade - Book Service","","com.peixoto.api.services.BookServiceTest","findById_shouldThrowBadRequestException","Deve lançar exceção ao buscar um livro que não existe",""
"passed","Sat Nov 19 03:40:50 GMT 2022","Sat Nov 19 03:40:50 GMT 2022","2","","Testes de Unidade - User Details Service","","com.peixoto.api.services.UserDetailServiceTest","loadUserByUsername_shouldThrowUsernameNotFoundException","Deve lançar exceção caso o usuário procurado não existir",""
"skipped","Sat Nov 19 03:41:13 GMT 2022","Sat Nov 19 03:41:13 GMT 2022","0","","Testes de integração - Livros - Após as correções","","com.peixoto.api.BookIntegrationReviwedTest","t3","Deve inserir um novo livro com sucesso",""
"passed","Sat Nov 19 03:41:31 GMT 2022","Sat Nov 19 03:41:34 GMT 2022","2903","","Testes de integração - Livros - Antes de correções","","com.peixoto.api.BookIntegrationTest","t1","t1()",""
"skipped","Sat Nov 19 03:41:13 GMT 2022","Sat Nov 19 03:41:13 GMT 2022","1","","Testes de integração - Livros - Após as correções","","com.peixoto.api.BookIntegrationReviwedTest","t2","Deve buscar todos os livros cadastrados com sucesso",""
